playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,minsPlayed,yellowCard,redCard,ranking
-DC-MC-,"D(C),M(C)",Turkey,UCL,4,0,0,0,1,Mario Lemina,123481,Midfielder,294,Galatasaray,Europe,Champions League,296,1,0,162
-FW-MC-,"M(C),FW",Netherlands,UCL,4,1,0,0,2,Guus Til,322148,Midfielder,129,PSV Eindhoven,Europe,Champions League,277,1,0,163
-DC-DR-,D(CR),Spain,UCL,4,0,0,0,0,Santiago Mouriño,448936,Defender,839,Villarreal,Europe,Champions League,360,2,0,164
-DC-,D(C),Belgium,UCL,2,1,0,1,0,Ross Sykes,342821,Defender,2647,Union St.Gilloise,Europe,Champions League,113,0,0,165
-DC-DR-,D(CR),Kazakhstan,UCL,3,0,1,0,0,Aleksandr Martynovich,30091,Defender,1770,Kairat Almaty,Europe,Champions League,270,0,0,166
-DC-,D(C),Italy,UCL,4,0,0,0,0,Berat Djimsiti,100962,Defender,300,Atalanta,Europe,Champions League,345,1,0,167
-MC-,M(C),England,UCL,4,0,0,0,0,Rodrigo Bentancur,303657,Midfielder,30,Tottenham,Europe,Champions League,322,0,0,168
-DC-,D(C),France,UCL,3,0,0,0,0,Nayef Aguerd,362434,Defender,249,Marseille,Europe,Champions League,270,2,0,169
-DR-ML-MR-,"D(R),M(LR)",England,UCL,3,2,0,0,2,Jacob Murphy,141486,Midfielder,23,Newcastle,Europe,Champions League,139,0,0,170
-DL-ML-,"D(L),M(L)",Turkey,UCL,4,1,0,0,0,Ismail Jakobs,349699,Defender,294,Galatasaray,Europe,Champions League,289,2,0,171
-DC-DR-MR-,"D(CR),M(R)",Germany,UCL,2,0,0,1,0,Rasmus Kristensen,302812,Defender,45,Eintracht Frankfurt,Europe,Champions League,149,0,0,172
-DR-MR-,"D(R),M(R)",Germany,UCL,2,0,0,1,0,Yan Couto,421975,Defender,44,Borussia Dortmund,Europe,Champions League,153,0,0,173
-AMC-,AM(C),Germany,UCL,3,2,0,1,1,Carney Chukwuemeka,410639,Midfielder,44,Borussia Dortmund,Europe,Champions League,114,0,0,174
-DMC-,DMC,England,UCL,3,0,0,0,1,Sandro Tonali,343501,Midfielder,23,Newcastle,Europe,Champions League,270,0,0,175
-AMC-AMR-,AM(CR),Italy,UCL,3,2,0,1,0,Francisco Conceição,409221,Forward,87,Juventus,Europe,Champions League,145,1,0,176
-DR-MR-,"D(R),M(R)",Portugal,UCL,3,0,0,0,0,Iván Fresneda,444257,Defender,296,Sporting,Europe,Champions League,260,0,0,177
-DL-DR-,D(LR),Belgium,UCL,3,1,0,0,1,Joaquin Seys,483461,Defender,124,Club Brugge,Europe,Champions League,209,0,0,178
-MC-ML-,M(CL),France,UCL,3,0,0,0,1,Fabián Ruiz,294193,Midfielder,304,PSG,Europe,Champions League,193,0,0,179
-DC-DL-DR-MC-ML-MR-,"D(CLR),M(CLR)",Germany,UCL,4,1,0,0,1,Julian Ryerson,320436,Defender,44,Borussia Dortmund,Europe,Champions League,297,0,0,180
-DL-ML-,"D(L),M(L)",Portugal,UCL,4,0,0,1,0,Maxi Araújo,460758,Midfielder,296,Sporting,Europe,Champions League,336,2,0,181
-DC-,D(C),Czech Republic,UCL,4,0,0,0,0,David Zima,404203,Defender,349,Slavia Prague,Europe,Champions League,360,0,0,182
-FW-,FW,Netherlands,UCL,3,2,0,2,1,Ricardo Pepi,377466,Forward,129,PSV Eindhoven,Europe,Champions League,112,0,0,183
-DC-,D(C),Spain,UCL,2,0,0,0,0,Clément Lenglet,236511,Defender,63,Atletico,Europe,Champions League,180,2,0,184
-MC-,M(C),England,UCL,4,1,0,1,0,Enzo Fernández,369430,Midfielder,15,Chelsea,Europe,Champions League,262,1,0,185
-DMC-,DMC,Germany,UCL,4,0,0,0,0,Aleksandar Pavlovic,481079,Midfielder,37,Bayern,Europe,Champions League,334,0,0,186
-DC-DL-,D(CL),Italy,UCL,3,0,0,1,1,Lloyd Kelly,332419,Defender,87,Juventus,Europe,Champions League,270,0,0,187
-DMC-,DMC,England,UCL,4,3,0,1,1,João Palhinha,322774,Midfielder,30,Tottenham,Europe,Champions League,161,0,0,188
-DC-DMC-DR-MR-,"D(CR),DMC,M(R)",Germany,UCL,4,0,0,0,0,Joshua Kimmich,283323,Midfielder,37,Bayern,Europe,Champions League,360,0,0,189
-DC-,D(C),Spain,UCL,4,1,0,0,0,Pau Cubarsí,498386,Defender,65,Barcelona,Europe,Champions League,250,0,0,190
-AMC-AML-AMR-,AM(CLR),England,UCL,4,2,1,0,1,Savinho,397821,Forward,167,Man City,Europe,Champions League,215,2,0,191
-AML-FW-,"AM(L),FW",Portugal,UCL,4,2,0,1,0,Luis Suárez,402887,Forward,296,Sporting,Europe,Champions League,214,1,0,192
-FW-MC-ML-MR-,"M(CLR),FW",France,UCL,2,1,0,0,0,Aleksandr Golovin,244560,Midfielder,248,Monaco,Europe,Champions League,123,1,0,193
,Defender,Denmark,UCL,2,0,0,0,1,Rodrigo Huescas,512077,Defender,10,Copenhagen,Europe,Champions League,105,0,0,194
-GK-,GK,Belgium,UCL,4,1,0,0,0,Nordin Jackers,143459,Goalkeeper,124,Club Brugge,Europe,Champions League,341,0,0,195
-FW-MC-ML-MR-,"M(CLR),FW",Italy,UCL,3,0,0,0,0,Charles De Ketelaere,386390,Forward,300,Atalanta,Europe,Champions League,221,0,0,196
-MC-,M(C),Cyprus,UCL,4,0,0,0,0,Pêpê Rodrigues,344716,Midfielder,2748,Pafos FC,Europe,Champions League,337,0,0,197
-GK-,GK,England,UCL,4,0,0,0,0,Gianluigi Donnarumma,262515,Goalkeeper,167,Man City,Europe,Champions League,360,1,0,198
-AML-,AM(L),Azerbaijan,UCL,4,0,0,1,1,Abdellah Zoubir,124594,Midfielder,2569,Qarabag FK,Europe,Champions League,345,0,0,199
-FW-,FW,England,UCL,4,1,0,1,0,Hugo Ekitiké,403784,Forward,26,Liverpool,Europe,Champions League,253,0,0,200
-DL-DR-MC-,"D(LR),M(C)",England,UCL,2,1,0,0,1,Rico Lewis,444791,Defender,167,Man City,Europe,Champions League,83,0,0,201
-DC-,D(C),France,UCL,4,0,0,1,0,Willian Pacho,432378,Defender,304,PSG,Europe,Champions League,360,0,0,202
-DMC-,DMC,Azerbaijan,UCL,4,0,0,0,0,Pedro Bicalho,367282,Midfielder,2569,Qarabag FK,Europe,Champions League,326,0,0,203
-DC-,D(C),Germany,UCL,3,0,0,0,0,Jarell Quansah,430019,Defender,36,Leverkusen,Europe,Champions League,270,0,0,204
-DR-MC-ML-MR-,"D(R),M(CLR)",Spain,UCL,3,0,0,0,0,Federico Valverde,344644,Midfielder,52,Real Madrid,Europe,Champions League,270,0,0,205
-MC-MR-,M(CR),Azerbaijan,UCL,3,1,0,1,1,Marko Jankovic,241007,Midfielder,2569,Qarabag FK,Europe,Champions League,201,0,0,206
-FW-MC-ML-MR-,"M(CLR),FW",England,UCL,4,1,0,1,0,Bernardo Silva,136741,Midfielder,167,Man City,Europe,Champions League,281,2,0,207
-DC-DMC-DR-,"D(CR),DMC",France,UCL,2,0,0,1,0,Eric Dier,117973,Defender,248,Monaco,Europe,Champions League,180,0,0,208
-DC-,D(C),Germany,UCL,4,0,1,0,0,Loïc Badé,398416,Defender,36,Leverkusen,Europe,Champions League,337,0,0,209
-MC-,M(C),England,UCL,4,2,0,0,0,Nico González,422939,Midfielder,167,Man City,Europe,Champions League,207,1,0,210
-DC-DMC-DR-,"D(CR),DMC",England,UCL,3,0,0,0,0,John Stones,101374,Defender,167,Man City,Europe,Champions League,253,0,0,211
-FW-,FW,Belgium,UCL,4,1,0,0,1,Kevin Rodríguez,464388,Forward,2647,Union St.Gilloise,Europe,Champions League,264,0,0,212
-DMC-,DMC,Portugal,UCL,4,0,0,0,0,Morten Hjulmand,403647,Midfielder,296,Sporting,Europe,Champions League,340,1,0,213
-DC-MC-ML-,"D(C),M(CL)",Italy,UCL,4,0,0,2,0,Scott McTominay,336915,Midfielder,276,Napoli,Europe,Champions League,339,0,0,214
-MC-ML-,M(CL),Spain,UCL,4,2,0,1,0,Conor Gallagher,375621,Midfielder,63,Atletico,Europe,Champions League,206,0,0,215
-MC-,M(C),Italy,UCL,4,2,0,0,0,Manuel Locatelli,273539,Midfielder,87,Juventus,Europe,Champions League,210,0,0,216
-DC-DR-MC-ML-MR-,"D(CR),M(CLR)",Italy,UCL,4,0,0,0,0,Weston McKennie,338275,Midfielder,87,Juventus,Europe,Champions League,329,0,0,217
-AML-AMR-,AM(LR),Netherlands,UCL,3,3,0,1,1,Couhaib Driouech,400009,Forward,129,PSV Eindhoven,Europe,Champions League,55,1,0,218
-DMC-,DMC,Czech Republic,UCL,3,0,0,0,0,Oscar Dorley,404197,Midfielder,349,Slavia Prague,Europe,Champions League,270,0,0,219
-FW-,FW,Italy,UCL,3,0,0,2,0,Rasmus Højlund,439584,Forward,276,Napoli,Europe,Champions League,252,0,0,220
-DL-DR-FW-ML-MR-,"D(LR),M(LR),FW",Turkey,UCL,4,1,0,0,0,Baris Alper Yilmaz,421779,Forward,294,Galatasaray,Europe,Champions League,285,0,0,221
-MC-,M(C),Turkey,UCL,2,0,0,0,0,Ilkay Gündogan,77464,Midfielder,294,Galatasaray,Europe,Champions League,142,0,0,222
-DR-,D(R),Spain,UCL,2,1,0,0,0,Jesús Areso,422820,Defender,53,Athletic Club,Europe,Champions League,103,1,0,223
-DC-DR-,D(CR),Spain,UCL,2,1,0,0,0,José María Giménez,135914,Defender,63,Atletico,Europe,Champions League,127,1,0,224
-MC-ML-MR-,M(CLR),Italy,UCL,4,1,0,0,0,Piotr Zielinski,118169,Midfielder,75,Inter,Europe,Champions League,257,0,0,225
-AML-AMR-FW-,"AM(LR),FW",Spain,UCL,3,1,0,2,0,Ferran Torres,349760,Forward,65,Barcelona,Europe,Champions League,169,0,0,226
,Forward,England,UCL,3,1,0,1,0,Tyrique George,523597,Forward,15,Chelsea,Europe,Champions League,152,0,0,227
-DC-DMC-DR-,"D(CR),DMC",France,UCL,3,2,0,0,0,CJ Egan-Riley,425574,Defender,249,Marseille,Europe,Champions League,135,0,0,228
,Defender,Czech Republic,UCL,4,2,0,0,0,Stepán Chaloupek,499961,Defender,349,Slavia Prague,Europe,Champions League,274,0,0,229
-DC-DR-,D(CR),Spain,UCL,3,1,0,0,0,Ronald Araujo,384711,Defender,65,Barcelona,Europe,Champions League,196,0,0,230
-AMC-FW-,"AM(C),FW",England,UCL,4,1,0,1,0,Nick Woltemade,386606,Forward,23,Newcastle,Europe,Champions League,269,0,0,231
-MC-,M(C),England,UCL,4,1,0,0,3,Tijjani Reijnders,343382,Midfielder,167,Man City,Europe,Champions League,266,0,0,232
-FW-MC-ML-MR-,"M(CLR),FW",Italy,UCL,3,2,1,0,0,Eljif Elmas,339579,Midfielder,276,Napoli,Europe,Champions League,115,0,0,233
-MC-ML-MR-,M(CLR),Portugal,UCL,3,2,0,1,0,Geny Catamo,425093,Midfielder,296,Sporting,Europe,Champions League,95,0,0,234
-AMC-AML-AMR-FW-,"AM(CLR),FW",Denmark,UCL,3,0,0,0,0,Mohamed Elyounoussi,141732,Midfielder,10,Copenhagen,Europe,Champions League,252,0,0,235
-MC-,M(C),Germany,UCL,4,1,0,2,0,Aleix García,280663,Midfielder,36,Leverkusen,Europe,Champions League,309,0,0,236
-ML-MR-,M(LR),Greece,UCL,3,0,1,1,0,Gelson Martins,296576,Midfielder,843,Olympiacos,Europe,Champions League,198,0,0,237
-DL-DR-FW-MC-ML-MR-,"D(LR),M(CLR),FW",France,UCL,2,0,0,0,1,Krépin Diatta,335692,Midfielder,248,Monaco,Europe,Champions League,147,1,0,238
-DC-,D(C),France,UCL,2,0,0,0,0,Leonardo Balerdi,362788,Defender,249,Marseille,Europe,Champions League,180,1,0,239
-AMC-AML-AMR-FW-,"AM(CLR),FW",Portugal,UCL,3,0,0,0,0,Dodi Lukébakio,299490,Forward,299,Benfica,Europe,Champions League,257,2,0,240
-DC-,D(C),Kazakhstan,UCL,4,0,0,0,0,Egor Sorokin,243195,Defender,1770,Kairat Almaty,Europe,Champions League,360,0,0,241
-DC-,D(C),Portugal,UCL,3,1,0,0,0,Eduardo Quaresma,394932,Defender,296,Sporting,Europe,Champions League,180,0,0,242
-DC-DMC-,"D(C),DMC",Netherlands,UCL,4,0,0,0,0,Jerdy Schouten,331555,Midfielder,129,PSV Eindhoven,Europe,Champions League,316,0,0,243
-AMC-AML-AMR-FW-,"AM(CLR),FW",France,UCL,2,1,0,1,0,Ousmane Dembélé,299513,Forward,304,PSG,Europe,Champions League,52,0,0,244
-DMC-,DMC,Norway,UCL,4,0,0,0,0,Patrick Berg,320986,Midfielder,439,Bodoe/Glimt,Europe,Champions League,360,2,0,245
-AMC-AML-AMR-,AM(CLR),Belgium,UCL,4,0,0,1,0,Anouar Ait El Hadj,400139,Midfielder,2647,Union St.Gilloise,Europe,Champions League,300,0,0,246
,Defender,Kazakhstan,UCL,4,0,0,1,0,Ofri Arad,399380,Defender,1770,Kairat Almaty,Europe,Champions League,295,2,0,247
-DMC-DR-,"D(R),DMC",England,UCL,4,1,1,1,0,Moisés Caicedo,410175,Midfielder,15,Chelsea,Europe,Champions League,311,1,0,248
-DC-DL-MC-ML-,"D(CL),M(CL)",France,UCL,3,0,0,0,0,Caio Henrique,320313,Defender,248,Monaco,Europe,Champions League,226,0,0,249
-AMC-AML-AMR-FW-,"AM(CLR),FW",Belgium,UCL,2,2,0,0,1,Sofiane Boufal,234363,Forward,2647,Union St.Gilloise,Europe,Champions League,33,0,0,250
-DC-DR-,D(CR),Germany,UCL,4,1,0,0,0,Nnamdi Collins,450125,Defender,45,Eintracht Frankfurt,Europe,Champions League,269,0,0,251
-MC-ML-MR-,M(CLR),Germany,UCL,4,1,0,1,1,Ansgar Knauff,403747,Forward,45,Eintracht Frankfurt,Europe,Champions League,281,0,0,252
-DC-DL-DR-MR-,"D(CLR),M(R)",France,UCL,4,1,0,0,0,Thilo Kehrer,255167,Defender,248,Monaco,Europe,Champions League,315,1,0,253
-DL-ML-,"D(L),M(L)",England,UCL,3,2,0,0,0,Destiny Udogie,401044,Defender,30,Tottenham,Europe,Champions League,102,0,0,254
-DL-,D(L),Spain,UCL,2,0,0,0,0,Adama Boiro,515307,Defender,53,Athletic Club,Europe,Champions League,158,0,0,255
-DR-MR-,"D(R),M(R)",Italy,UCL,2,2,0,0,1,João Mário,395173,Defender,87,Juventus,Europe,Champions League,105,0,0,256
-DC-,D(C),Portugal,UCL,4,0,0,0,0,Nicolás Otamendi,75691,Defender,299,Benfica,Europe,Champions League,360,2,0,257
-DC-DL-ML-,"D(CL),M(L)",England,UCL,2,1,0,0,0,Piero Hincapié,404832,Defender,13,Arsenal,Europe,Champions League,74,0,0,258
-FW-MC-ML-MR-,"M(CLR),FW",Germany,UCL,3,2,0,1,0,Julian Brandt,141556,Midfielder,44,Borussia Dortmund,Europe,Champions League,108,0,0,259
-AMC-AML-AMR-,AM(CLR),England,UCL,3,2,0,1,0,Alejandro Garnacho,437022,Forward,15,Chelsea,Europe,Champions League,128,0,0,260
-MC-,M(C),England,UCL,4,1,0,0,0,Pape Matar Sarr,403859,Midfielder,30,Tottenham,Europe,Champions League,259,0,0,261
-DL-,D(L),Spain,UCL,2,1,0,0,0,Fran García,422957,Defender,52,Real Madrid,Europe,Champions League,96,0,0,262
-DC-,D(C),Germany,UCL,4,1,0,0,1,Jonathan Tah,134946,Defender,37,Bayern,Europe,Champions League,243,1,0,263
-MC-,M(C),Spain,UCL,4,0,0,0,0,Pape Gueye,399047,Midfielder,839,Villarreal,Europe,Champions League,339,2,0,264
-DMC-,DMC,England,UCL,3,0,0,0,1,Ryan Gravenberch,363884,Midfielder,26,Liverpool,Europe,Champions League,242,1,0,265
-MC-,M(C),England,UCL,3,2,0,0,0,Lewis Miley,474264,Midfielder,23,Newcastle,Europe,Champions League,145,0,0,266
-MC-MR-,M(CR),Netherlands,UCL,4,0,1,2,0,Ismael Saibari,404776,Midfielder,129,PSV Eindhoven,Europe,Champions League,336,2,0,267
-GK-,GK,Czech Republic,UCL,2,0,0,0,0,Jindrich Stanek,303019,Goalkeeper,349,Slavia Prague,Europe,Champions League,180,0,0,268
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,3,2,0,0,1,Randal Kolo Muani,333542,Forward,30,Tottenham,Europe,Champions League,105,2,0,269
,Defender,Cyprus,UCL,4,1,0,0,0,David Goldar,144095,Defender,2748,Pafos FC,Europe,Champions League,294,0,0,270
-DL-,D(L),Spain,UCL,4,2,0,0,0,Gerard Martín,512879,Defender,65,Barcelona,Europe,Champions League,170,1,0,271
-FW-MC-ML-MR-,"M(CLR),FW",Germany,UCL,4,1,0,0,2,Marcel Sabitzer,92051,Midfielder,44,Borussia Dortmund,Europe,Champions League,260,0,0,272
-DC-,D(C),Spain,UCL,4,0,0,1,0,Robin Le Normand,367008,Defender,63,Atletico,Europe,Champions League,296,2,0,273
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,2,2,0,1,0,Rayan Cherki,386153,Midfielder,167,Man City,Europe,Champions League,15,0,0,274
-GK-,GK,Italy,UCL,4,0,0,0,0,Vanja Milinkovic-Savic,149474,Goalkeeper,276,Napoli,Europe,Champions League,360,0,0,275
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,4,3,0,1,0,Brahim Díaz,317541,Midfielder,52,Real Madrid,Europe,Champions League,132,1,0,276
-DR-,D(R),Germany,UCL,2,2,0,0,0,Sacha Boey,372280,Defender,37,Bayern,Europe,Champions League,65,0,0,277
,Midfielder,Denmark,UCL,3,2,0,1,0,Robert Silva,484203,Midfielder,10,Copenhagen,Europe,Champions League,71,0,0,278
-AMC-AML-AMR-,AM(CLR),England,UCL,4,2,0,0,0,Eberechi Eze,332403,Midfielder,13,Arsenal,Europe,Champions League,186,0,0,279
-DC-DL-DR-MR-,"D(CLR),M(R)",Germany,UCL,2,0,0,0,0,Josip Stanisic,413272,Defender,37,Bayern,Europe,Champions League,141,1,0,280
-DR-MR-,"D(R),M(R)",England,UCL,2,0,0,0,1,Malo Gusto,403850,Defender,15,Chelsea,Europe,Champions League,171,0,0,281
-DMC-,DMC,Turkey,UCL,4,0,0,0,0,Lucas Torreira,248109,Midfielder,294,Galatasaray,Europe,Champions League,357,0,0,282
-DC-,D(C),Belgium,UCL,2,2,0,0,0,Jorne Spileers,459085,Defender,124,Club Brugge,Europe,Champions League,54,0,0,283
-DC-,D(C),Norway,UCL,4,0,0,0,0,Odin Bjørtuft,354608,Defender,439,Bodoe/Glimt,Europe,Champions League,360,1,0,284
-DMC-,DMC,Spain,UCL,4,0,0,0,2,Mikel Jauregizar,511120,Midfielder,53,Athletic Club,Europe,Champions League,295,1,0,285
-GK-,GK,Turkey,UCL,4,0,1,0,0,Ugurcan Çakir,258840,Goalkeeper,294,Galatasaray,Europe,Champions League,360,1,0,286
-AMC-FW-,"AM(C),FW",Germany,UCL,3,1,0,1,0,Can Uzun,467776,Midfielder,45,Eintracht Frankfurt,Europe,Champions League,156,0,0,287
-AMC-AMR-,AM(CR),England,UCL,3,1,0,0,0,Facundo Buonanotte,432384,Midfielder,15,Chelsea,Europe,Champions League,163,1,0,288
-AMC-AMR-,AM(CR),Norway,UCL,4,0,0,0,2,Håkon Evjen,356742,Midfielder,439,Bodoe/Glimt,Europe,Champions League,355,0,0,289
-AML-FW-,"AM(L),FW",England,UCL,3,1,0,0,0,Alexander Isak,299254,Forward,26,Liverpool,Europe,Champions League,132,0,0,290
-FW-MC-ML-,"M(CL),FW",England,UCL,4,3,0,1,0,Alexis Mac Allister,345319,Midfielder,26,Liverpool,Europe,Champions League,149,1,0,291
-DL-DR-FW-MC-ML-MR-,"D(LR),M(CLR),FW",Spain,UCL,3,1,0,0,1,Alex Berenguer,238899,Forward,53,Athletic Club,Europe,Champions League,232,0,0,292
-AMR-,AM(R),France,UCL,3,2,0,0,0,Ibrahim Mbaye,535536,Forward,304,PSG,Europe,Champions League,99,0,0,293
-FW-MC-ML-MR-,"M(CLR),FW",Italy,UCL,3,1,1,1,0,Mario Pasalic,129903,Midfielder,300,Atalanta,Europe,Champions League,225,0,0,294
-DMC-,DMC,Italy,UCL,3,0,0,0,0,Stanislav Lobotka,111892,Midfielder,276,Napoli,Europe,Champions League,235,0,0,295
-DC-DL-DMC-DR-,"D(CLR),DMC",England,UCL,2,1,0,0,0,Archie Gray,429922,Midfielder,30,Tottenham,Europe,Champions League,98,0,0,296
-GK-,GK,Portugal,UCL,4,0,0,0,0,Anatoliy Trubin,369877,Goalkeeper,299,Benfica,Europe,Champions League,360,0,0,297
-MC-ML-,M(CL),England,UCL,3,1,0,0,0,Curtis Jones,355354,Midfielder,26,Liverpool,Europe,Champions League,191,1,0,298
-ML-,M(L),Germany,UCL,4,0,0,1,0,Daniel Svensson,418584,Defender,44,Borussia Dortmund,Europe,Champions League,360,1,0,299
-MC-ML-MR-,M(CLR),Portugal,UCL,4,1,0,0,1,Pote,344378,Midfielder,296,Sporting,Europe,Champions League,278,2,0,300
-DC-DR-,D(CR),England,UCL,3,2,0,0,0,Cristhian Mosquera,425591,Defender,13,Arsenal,Europe,Champions League,124,0,0,301
-GK-,GK,England,UCL,3,0,0,0,0,Robert Sánchez,362151,Goalkeeper,15,Chelsea,Europe,Champions League,270,0,0,302
-DC-,D(C),Greece,UCL,4,0,0,0,0,Lorenzo Pirola,390738,Defender,843,Olympiacos,Europe,Champions League,346,1,0,303
-AML-FW-,"AM(L),FW",Cyprus,UCL,4,1,0,1,0,Mislav Orsic,141670,Forward,2748,Pafos FC,Europe,Champions League,304,1,0,304
-AMC-,AM(C),Portugal,UCL,4,0,0,0,1,Heorhii Sudakov,404104,Midfielder,299,Benfica,Europe,Champions League,326,0,0,305
-AMR-,AM(R),Azerbaijan,UCL,4,3,0,1,0,Oleksii Kashchuk,399837,Midfielder,2569,Qarabag FK,Europe,Champions League,122,0,0,306
-DR-MR-,"D(R),M(R)",Greece,UCL,4,2,0,0,0,Costinha,395954,Defender,843,Olympiacos,Europe,Champions League,215,0,0,307
-AMC-,AM(C),Italy,UCL,4,4,0,2,0,Lazar Samardzic,393039,Midfielder,300,Atalanta,Europe,Champions League,80,0,0,308
-DR-MR-,"D(R),M(R)",England,UCL,4,3,0,0,0,Conor Bradley,424945,Defender,26,Liverpool,Europe,Champions League,221,2,0,309
,Forward,Azerbaijan,UCL,4,4,0,1,0,Emmanuel Addai,462454,Forward,2569,Qarabag FK,Europe,Champions League,137,0,0,310
-DMC-,DMC,England,UCL,2,0,0,0,0,Roméo Lavia,425319,Midfielder,15,Chelsea,Europe,Champions League,74,0,0,311
-AML-AMR-FW-,"AM(LR),FW",England,UCL,4,2,0,0,0,Anthony Elanga,413211,Forward,23,Newcastle,Europe,Champions League,165,0,0,312
-DC-,D(C),Italy,UCL,3,1,0,0,0,Honest Ahanor,535735,Defender,300,Atalanta,Europe,Champions League,185,0,0,313
-DC-DL-DR-MR-,"D(CLR),M(R)",France,UCL,4,0,0,0,0,Benjamin Pavard,259648,Defender,249,Marseille,Europe,Champions League,358,2,0,314
-MC-,M(C),Spain,UCL,4,0,0,0,0,Pablo Barrios,434138,Midfielder,63,Atletico,Europe,Champions League,345,0,0,315
-AML-FW-,"AM(L),FW",Portugal,UCL,4,0,0,1,0,Vangelis Pavlidis,330514,Forward,299,Benfica,Europe,Champions League,349,0,0,316
-DL-DR-ML-MR-,"D(LR),M(LR)",Italy,UCL,3,1,0,0,0,Davide Zappacosta,141312,Midfielder,300,Atalanta,Europe,Champions League,209,0,0,317
-DL-ML-,"D(L),M(L)",Spain,UCL,3,1,0,0,0,Matteo Ruggeri,402046,Defender,63,Atletico,Europe,Champions League,207,0,0,318
-AMC-,AM(C),Italy,UCL,3,1,0,0,0,Nicolò Barella,148684,Midfielder,75,Inter,Europe,Champions League,174,1,0,319
-MC-MR-,M(CR),Denmark,UCL,4,0,0,0,0,Lukas Lerager,342577,Midfielder,10,Copenhagen,Europe,Champions League,360,2,0,320
-GK-,GK,Netherlands,UCL,4,0,0,0,0,Matej Kovár,388668,Goalkeeper,129,PSV Eindhoven,Europe,Champions League,360,0,0,321
-DC-,D(C),Belgium,UCL,4,0,0,0,0,Christian Burgess,134493,Defender,2647,Union St.Gilloise,Europe,Champions League,360,1,0,322
-DC-DR-,D(CR),Italy,UCL,4,0,0,0,0,Odilon Kossounou,384516,Defender,300,Atalanta,Europe,Champions League,288,1,0,323
