playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,minsPlayed,yellowCard,redCard,ranking
-DC-,D(C),France,UCL,3,1,0,0,0,Illia Zabarnyi,399826,Defender,304,PSG,Europe,Champions League,143,1,1,487
,Forward,France,UCL,2,2,0,0,0,Quentin Ndjantou,560493,Forward,304,PSG,Europe,Champions League,24,0,0,488
-AMC-FW-,"AM(C),FW",Portugal,UCL,3,3,0,0,0,Franjo Ivanovic,499993,Forward,299,Benfica,Europe,Champions League,60,0,0,489
,Forward,Spain,UCL,3,3,0,0,0,Nico Serrano,423109,Forward,53,Athletic Club,Europe,Champions League,57,0,0,490
-DL-DR-MC-ML-MR-,"D(LR),M(CLR)",Portugal,UCL,4,0,0,0,0,Fredrik Aursnes,303544,Midfielder,299,Benfica,Europe,Champions League,339,1,0,491
-GK-,GK,England,UCL,3,1,0,0,0,Giorgi Mamardashvili,401633,Goalkeeper,26,Liverpool,Europe,Champions League,214,0,0,492
-DC-,D(C),Germany,UCL,3,1,0,0,0,Nico Schlotterbeck,371275,Defender,44,Borussia Dortmund,Europe,Champions League,200,0,0,493
-GK-,GK,Italy,UCL,3,0,0,0,0,Michele Di Gregorio,319696,Goalkeeper,87,Juventus,Europe,Champions League,270,0,0,494
-AML-AMR-,AM(LR),Netherlands,UCL,2,2,0,0,0,Esmir Bajraktarevic,445302,Forward,129,PSV Eindhoven,Europe,Champions League,39,0,0,495
-DC-,D(C),Italy,UCL,3,1,0,0,0,Isak Hien,454908,Defender,300,Atalanta,Europe,Champions League,215,0,0,496
-FW-MC-ML-MR-,"M(CLR),FW",Denmark,UCL,4,3,0,0,0,Viktor Claesson,99972,Midfielder,10,Copenhagen,Europe,Champions League,174,0,0,497
-GK-,GK,Spain,UCL,3,0,0,0,0,Luiz Júnior,400826,Goalkeeper,839,Villarreal,Europe,Champions League,270,0,0,498
-ML-,M(L),Italy,UCL,3,0,0,0,0,Lorenzo Bernasconi,480033,Defender,300,Atalanta,Europe,Champions League,226,1,0,499
-AMR-FW-,"AM(R),FW",Spain,UCL,3,2,0,0,0,Alexander Sørloth,302497,Forward,63,Atletico,Europe,Champions League,129,0,0,500
-DR-MR-,"D(R),M(R)",Germany,UCL,3,1,0,0,0,Arthur,437724,Defender,36,Leverkusen,Europe,Champions League,228,0,0,501
-FW-MC-ML-MR-,"M(CLR),FW",Italy,UCL,4,0,0,0,0,Matteo Politano,122683,Forward,276,Napoli,Europe,Champions League,262,1,0,502
-FW-MC-ML-MR-,"M(CLR),FW",Spain,UCL,3,1,0,0,0,Nico González,345322,Forward,63,Atletico,Europe,Champions League,156,0,0,503
-DC-DL-DMC-DR-MR-,"D(CLR),DMC,M(R)",England,UCL,3,1,0,0,0,Reece James,361330,Defender,15,Chelsea,Europe,Champions League,167,1,0,504
-MC-,M(C),Spain,UCL,4,1,0,0,0,Santi Comesaña,362735,Midfielder,839,Villarreal,Europe,Champions League,267,1,0,505
-MC-,M(C),Italy,UCL,2,2,0,0,0,Marco Brescianini,367260,Midfielder,300,Atalanta,Europe,Champions League,18,0,0,506
-DR-MC-MR-,"D(R),M(CR)",Spain,UCL,2,1,0,0,0,Thomas Partey,238940,Midfielder,839,Villarreal,Europe,Champions League,102,0,0,507
-DL-FW-ML-MR-,"D(L),M(LR),FW",Italy,UCL,2,2,0,0,0,Filip Kostic,105995,Midfielder,87,Juventus,Europe,Champions League,20,0,0,508
-AMC-AMR-,AM(CR),Portugal,UCL,2,2,0,0,0,Gianluca Prestianni,438274,Forward,299,Benfica,Europe,Champions League,41,0,0,509
-AML-AMR-FW-,"AM(LR),FW",Italy,UCL,3,3,0,0,0,Noa Lang,354283,Forward,276,Napoli,Europe,Champions League,70,0,0,510
-AMC-AML-AMR-,AM(CLR),Netherlands,UCL,2,1,0,0,0,Oliver Edvardsen,383616,Forward,130,Ajax,Europe,Champions League,135,0,0,511
,Midfielder,Kazakhstan,UCL,3,3,0,0,0,Giorgi Zaria,322883,Midfielder,1770,Kairat Almaty,Europe,Champions League,53,0,0,512
-MC-,M(C),Netherlands,UCL,2,2,0,0,0,Kian Fitz-Jim,415781,Midfielder,130,Ajax,Europe,Champions League,25,0,0,513
-DC-,D(C),Azerbaijan,UCL,4,0,0,0,0,Bahlul Mustafazada,383100,Defender,2569,Qarabag FK,Europe,Champions League,360,0,0,514
-DC-MC-,"D(C),M(C)",Italy,UCL,4,0,0,0,0,Teun Koopmeiners,343308,Midfielder,87,Juventus,Europe,Champions League,279,0,0,515
-DR-MR-,"D(R),M(R)",England,UCL,3,0,0,0,0,Jeremie Frimpong,392644,Defender,26,Liverpool,Europe,Champions League,139,0,0,516
-FW-MC-MR-,"M(CR),FW",Belgium,UCL,2,1,0,0,0,Cisse Sandra,420300,Midfielder,124,Club Brugge,Europe,Champions League,112,0,0,517
-DC-,D(C),Norway,UCL,3,2,0,0,0,Jostein Gundersen,320735,Defender,439,Bodoe/Glimt,Europe,Champions League,105,0,1,518
-DC-DMC-,"D(C),DMC",Italy,UCL,4,0,0,0,0,Marten de Roon,85070,Midfielder,300,Atalanta,Europe,Champions League,316,2,0,519
-DC-,D(C),Norway,UCL,3,3,0,0,0,Villads Nielsen,521876,Defender,439,Bodoe/Glimt,Europe,Champions League,30,0,0,520
-AMC-AML-,AM(CL),Germany,UCL,4,2,0,0,0,Jean-Mattéo Bahoya,444748,Forward,45,Eintracht Frankfurt,Europe,Champions League,161,0,0,521
-DC-DL-DR-MR-,"D(CLR),M(R)",France,UCL,4,3,0,0,0,Amir Murillo,280972,Defender,249,Marseille,Europe,Champions League,155,0,0,522
,Forward,Cyprus,UCL,3,0,0,0,0,Bruno Felipe,425315,Forward,2748,Pafos FC,Europe,Champions League,205,0,1,523
-DL-,D(L),Cyprus,UCL,4,2,0,0,0,Kostas Pileas,383307,Defender,2748,Pafos FC,Europe,Champions League,219,0,0,524
-DC-DR-MR-,"D(CR),M(R)",Belgium,UCL,3,3,0,0,0,Louis Patris,400512,Defender,2647,Union St.Gilloise,Europe,Champions League,33,0,0,525
-AML-AMR-,AM(LR),Netherlands,UCL,3,2,0,0,0,Raúl Moro,396490,Forward,130,Ajax,Europe,Champions League,110,0,0,526
-DC-DR-,D(CR),England,UCL,3,0,0,0,0,Tosin Adarabioyo,136464,Defender,15,Chelsea,Europe,Champions League,226,1,0,527
-DC-DL-ML-,"D(CL),M(L)",Portugal,UCL,2,2,0,0,0,Matheus Reis,283978,Defender,296,Sporting,Europe,Champions League,25,0,0,528
-AML-,AM(L),Denmark,UCL,4,1,0,0,1,Elias Achouri,421895,Midfielder,10,Copenhagen,Europe,Champions League,257,0,0,529
-DL-,D(L),Netherlands,UCL,3,0,0,0,0,Owen Wijndal,328550,Defender,130,Ajax,Europe,Champions League,191,0,0,530
-DL-ML-,"D(L),M(L)",Spain,UCL,4,2,0,0,0,Alfonso Pedraza,276489,Defender,839,Villarreal,Europe,Champions League,165,1,0,531
-DMC-,DMC,Portugal,UCL,3,2,0,0,0,Leandro Barreiro,363038,Midfielder,299,Benfica,Europe,Champions League,93,0,0,532
-DL-ML-,"D(L),M(L)",England,UCL,3,2,0,0,0,Milos Kerkez,424273,Defender,26,Liverpool,Europe,Champions League,96,0,0,533
-AMC-AML-FW-,"AM(CL),FW",Germany,UCL,4,3,0,0,0,Eliesse Ben Seghir,444598,Midfielder,36,Leverkusen,Europe,Champions League,112,0,0,534
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,3,1,0,0,0,Ayoze Pérez,135366,Forward,839,Villarreal,Europe,Champions League,156,0,0,535
-AMC-AML-FW-,"AM(CL),FW",Spain,UCL,3,2,0,0,0,Álex Baena,395242,Midfielder,63,Atletico,Europe,Champions League,90,0,0,536
-AMC-AMR-,AM(CR),Netherlands,UCL,3,3,0,0,0,Paul Wanner,430703,Midfielder,129,PSV Eindhoven,Europe,Champions League,41,0,0,537
-MC-,M(C),England,UCL,3,0,0,0,0,Lucas Bergvall,505295,Midfielder,30,Tottenham,Europe,Champions League,210,0,0,538
-AMC-AML-,AM(CL),Spain,UCL,4,3,0,0,0,Alberto Moleiro,448211,Midfielder,839,Villarreal,Europe,Champions League,114,1,0,539
-FW-MC-ML-,"M(CL),FW",France,UCL,3,3,0,0,0,Angel Gomes,338497,Midfielder,249,Marseille,Europe,Champions League,62,0,0,540
-MC-,M(C),England,UCL,2,2,0,0,0,Joe Willock,342563,Midfielder,23,Newcastle,Europe,Champions League,29,0,0,541
-DC-DL-,D(CL),Italy,UCL,3,2,0,0,0,Juan Jesus,84603,Defender,276,Napoli,Europe,Champions League,158,0,0,542
-DC-,D(C),Germany,UCL,4,3,0,0,0,Min-Jae Kim,370912,Defender,37,Bayern,Europe,Champions League,153,1,0,543
-FW-,FW,France,UCL,2,2,0,0,0,George Ilenikhena,470978,Forward,248,Monaco,Europe,Champions League,34,0,0,544
-DMC-DR-MR-,"D(R),DMC,M(R)",Spain,UCL,2,1,0,0,0,Trent Alexander-Arnold,318871,Defender,52,Real Madrid,Europe,Champions League,14,0,0,545
-DC-,D(C),Netherlands,UCL,3,1,0,0,0,Armando Obispo,345333,Defender,129,PSV Eindhoven,Europe,Champions League,157,0,0,546
-AMC-FW-,"AM(C),FW",Italy,UCL,4,2,0,0,0,Jonathan David,383855,Forward,87,Juventus,Europe,Champions League,165,0,0,547
-FW-,FW,Kazakhstan,UCL,4,4,0,0,1,Ricardinho,416884,Forward,1770,Kairat Almaty,Europe,Champions League,39,0,0,548
-FW-,FW,France,UCL,4,3,0,0,0,Mika Biereth,430909,Forward,248,Monaco,Europe,Champions League,95,0,0,549
,Goalkeeper,Kazakhstan,UCL,2,0,0,0,0,Sherkhan Kalmurza,569452,Goalkeeper,1770,Kairat Almaty,Europe,Champions League,180,0,0,550
-DC-,D(C),Belgium,UCL,3,0,0,0,0,Fedde Leysen,428122,Defender,2647,Union St.Gilloise,Europe,Champions League,270,0,0,551
-DC-DL-DMC-ML-,"D(CL),DMC,M(L)",France,UCL,2,1,0,0,0,Ulisses Garcia,149348,Defender,249,Marseille,Europe,Champions League,113,0,0,552
-DL-ML-,"D(L),M(L)",Cyprus,UCL,4,4,0,0,0,Bruno Langa,390741,Defender,2748,Pafos FC,Europe,Champions League,48,1,0,553
-AMR-,AM(R),England,UCL,2,2,0,0,0,Oscar Bobb,430709,Midfielder,167,Man City,Europe,Champions League,28,0,0,554
,Defender,Denmark,UCL,3,3,0,0,0,Yoram Zague,513663,Defender,10,Copenhagen,Europe,Champions League,96,1,0,555
-AMC-FW-,"AM(C),FW",Czech Republic,UCL,3,3,0,0,0,Muhammed Cham,426340,Midfielder,349,Slavia Prague,Europe,Champions League,40,0,0,556
-MC-MR-,M(CR),Italy,UCL,3,2,0,0,1,Yunus Musah,400357,Midfielder,300,Atalanta,Europe,Champions League,128,2,0,557
-DC-DR-MR-,"D(CR),M(R)",Czech Republic,UCL,3,2,0,0,0,Daiki Hashioka,411101,Defender,349,Slavia Prague,Europe,Champions League,112,0,0,558
-DC-,D(C),Italy,UCL,2,1,0,0,0,Daniele Rugani,116207,Defender,87,Juventus,Europe,Champions League,101,0,0,559
,Midfielder,Kazakhstan,UCL,2,2,0,0,0,Adilet Sadybekov,456837,Midfielder,1770,Kairat Almaty,Europe,Champions League,30,0,0,560
-DL-,D(L),Turkey,UCL,4,3,0,0,0,Eren Elmali,373036,Defender,294,Galatasaray,Europe,Champions League,101,0,0,561
,Midfielder,Cyprus,UCL,4,0,0,0,0,Vlad Dragomir,346190,Midfielder,2748,Pafos FC,Europe,Champions League,332,0,0,562
-DC-DL-DR-ML-MR-,"D(CLR),M(LR)",Greece,UCL,2,2,0,0,0,Giulian Biancone,367162,Defender,843,Olympiacos,Europe,Champions League,18,0,0,563
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,3,0,0,0,0,Iñaki Williams,255182,Forward,53,Athletic Club,Europe,Champions League,174,0,0,564
-AMC-,AM(C),Germany,UCL,4,2,0,0,0,Claudio Echeverri,478241,Midfielder,36,Leverkusen,Europe,Champions League,136,1,0,565
-DR-MR-,"D(R),M(R)",France,UCL,2,0,0,0,0,Vanderson,408033,Defender,248,Monaco,Europe,Champions League,112,0,0,566
-DC-,D(C),Denmark,UCL,4,0,0,0,0,Gabriel Pereira,472900,Defender,10,Copenhagen,Europe,Champions League,342,1,0,567
-FW-,FW,Italy,UCL,2,2,0,0,0,Gianluca Scamacca,302650,Forward,300,Atalanta,Europe,Champions League,33,0,0,568
,Defender,Kazakhstan,UCL,4,0,0,0,0,Aleksandr Mrynskiy,499083,Defender,1770,Kairat Almaty,Europe,Champions League,351,0,0,569
-AMR-,AM(R),Norway,UCL,2,2,0,0,0,Ole Didrik Blomberg,402884,Midfielder,439,Bodoe/Glimt,Europe,Champions League,27,0,0,570
-DC-DMC-DR-,"D(CR),DMC",Turkey,UCL,3,3,0,0,0,Kaan Ayhan,129171,Defender,294,Galatasaray,Europe,Champions League,33,0,0,571
,Midfielder,Kazakhstan,UCL,2,2,0,0,0,Olzhas Baybek,538766,Midfielder,1770,Kairat Almaty,Europe,Champions League,45,0,0,572
-AMC-AML-AMR-FW-,"AM(CLR),FW",Italy,UCL,3,0,0,0,0,Ademola Lookman,299451,Forward,300,Atalanta,Europe,Champions League,198,0,0,573
-DR-MR-,"D(R),M(R)",Spain,UCL,4,1,0,0,0,Andoni Gorosabel,345908,Defender,53,Athletic Club,Europe,Champions League,257,1,0,574
-DMC-,DMC,Germany,UCL,4,3,0,0,0,Ellyes Skhiri,238903,Midfielder,45,Eintracht Frankfurt,Europe,Champions League,93,0,0,575
-MC-MR-,M(CR),Belgium,UCL,2,2,0,0,0,Hugo Vetlesen,335698,Midfielder,124,Club Brugge,Europe,Champions League,19,0,0,576
-DC-DMC-,"D(C),DMC",Portugal,UCL,3,2,0,0,0,Zeno Debast,410633,Defender,296,Sporting,Europe,Champions League,123,1,0,577
-DL-,D(L),Portugal,UCL,3,0,0,0,0,Samuel Dahl,509647,Defender,299,Benfica,Europe,Champions League,249,0,0,578
-DC-DL-,D(CL),Spain,UCL,2,1,0,0,0,Aymeric Laporte,122117,Defender,53,Athletic Club,Europe,Champions League,135,0,0,579
-DMC-,DMC,Greece,UCL,4,0,0,0,0,Dani García,127392,Midfielder,843,Olympiacos,Europe,Champions League,274,2,0,580
-DL-DR-,D(LR),Netherlands,UCL,2,0,0,0,0,Lucas Rosa,459064,Defender,130,Ajax,Europe,Champions League,174,1,0,581
-DL-DMC-,"D(L),DMC",Turkey,UCL,2,2,0,0,0,Berkan Kutlu,399932,Midfielder,294,Galatasaray,Europe,Champions League,3,0,0,582
-DC-,D(C),Portugal,UCL,3,0,0,0,0,António Silva,443613,Defender,299,Benfica,Europe,Champions League,253,0,0,583
-MC-,M(C),Germany,UCL,4,1,0,0,0,Hugo Larsson,443796,Midfielder,45,Eintracht Frankfurt,Europe,Champions League,281,0,0,584
-DC-,D(C),Netherlands,UCL,4,2,0,0,0,Josip Sutalo,402666,Defender,130,Ajax,Europe,Champions League,221,0,0,585
-GK-,GK,Netherlands,UCL,2,0,0,0,0,Remko Pasveer,34550,Goalkeeper,130,Ajax,Europe,Champions League,180,0,0,586
,Defender,Azerbaijan,UCL,2,2,0,0,0,Dani Bolt,399242,Defender,2569,Qarabag FK,Europe,Champions League,27,0,0,587
-AMC-AML-FW-,"AM(CL),FW",England,UCL,2,2,0,0,0,Omar Marmoush,394749,Forward,167,Man City,Europe,Champions League,8,0,0,588
-DC-DL-ML-,"D(CL),M(L)",Netherlands,UCL,4,0,0,0,0,Youri Baas,422801,Defender,130,Ajax,Europe,Champions League,325,1,0,589
-DL-DR-FW-MC-MR-,"D(LR),M(CR),FW",Germany,UCL,2,2,0,0,0,Pascal Groß,71824,Midfielder,44,Borussia Dortmund,Europe,Champions League,24,0,0,590
-ML-,M(L),Belgium,UCL,4,0,0,0,0,Ousseynou Niang,539156,Midfielder,2647,Union St.Gilloise,Europe,Champions League,345,1,0,591
-MC-ML-,M(CL),Netherlands,UCL,4,1,0,0,0,Davy Klaassen,108860,Midfielder,130,Ajax,Europe,Champions League,315,1,0,592
,Midfielder,Italy,UCL,3,3,0,0,0,Vasilije Adzic,484428,Midfielder,87,Juventus,Europe,Champions League,38,0,0,593
-DC-DL-,D(CL),England,UCL,2,0,0,0,0,Jorrel Hato,467715,Defender,15,Chelsea,Europe,Champions League,180,0,0,594
-DMC-,DMC,Czech Republic,UCL,4,0,0,0,0,Christos Zafeiris,436152,Midfielder,349,Slavia Prague,Europe,Champions League,340,1,0,595
-DC-DL-ML-,"D(CL),M(L)",Norway,UCL,3,0,0,0,0,Haitam Aleesami,295248,Defender,439,Bodoe/Glimt,Europe,Champions League,244,1,0,596
-DR-MR-,"D(R),M(R)",Italy,UCL,4,1,0,0,0,Raoul Bellanova,349184,Defender,300,Atalanta,Europe,Champions League,242,1,0,597
-AMC-AML-,AM(CL),Netherlands,UCL,4,0,0,0,0,Mika Godts,462099,Forward,130,Ajax,Europe,Champions League,315,0,0,598
-DC-,D(C),Italy,UCL,3,0,0,0,0,Alessandro Buongiorno,333373,Defender,276,Napoli,Europe,Champions League,270,0,0,599
,Midfielder,Denmark,UCL,3,3,0,0,0,Mads Emil Madsen,404279,Midfielder,10,Copenhagen,Europe,Champions League,56,0,0,600
,Midfielder,Kazakhstan,UCL,2,2,0,0,0,Jug Stanojev,493135,Midfielder,1770,Kairat Almaty,Europe,Champions League,45,0,0,601
-MC-MR-,M(CR),Germany,UCL,4,4,0,0,0,Tom Bischof,431282,Midfielder,37,Bayern,Europe,Champions League,74,1,0,602
-DMC-,DMC,Netherlands,UCL,3,2,0,0,0,James McConnell,492375,Midfielder,130,Ajax,Europe,Champions League,118,1,0,603
,Midfielder,Norway,UCL,2,2,0,0,0,Anders Klynge,444344,Midfielder,439,Bodoe/Glimt,Europe,Champions League,3,0,0,604
-AML-FW-,"AM(L),FW",Cyprus,UCL,3,2,0,0,0,Landry Dimata,344071,Forward,2748,Pafos FC,Europe,Champions League,75,0,0,605
-DL-ML-,"D(L),M(L)",Norway,UCL,2,2,0,0,0,Isak Määttä,395826,Defender,439,Bodoe/Glimt,Europe,Champions League,13,0,0,606
-MC-,M(C),Belgium,UCL,4,1,0,0,0,Kamiel Van de Perre,530542,Midfielder,2647,Union St.Gilloise,Europe,Champions League,247,2,0,607
,Forward,Azerbaijan,UCL,2,2,0,0,0,Musa Qurbanli,404260,Forward,2569,Qarabag FK,Europe,Champions League,2,0,0,608
-DMC-,DMC,Belgium,UCL,3,2,0,0,0,Lynnt Audoor,431320,Midfielder,124,Club Brugge,Europe,Champions League,78,0,0,609
-FW-,FW,Netherlands,UCL,2,2,0,0,0,Myron Boadu,357081,Forward,129,PSV Eindhoven,Europe,Champions League,12,0,0,610
-DMC-,DMC,Germany,UCL,3,0,0,0,0,Ezequiél Fernández,411433,Midfielder,36,Leverkusen,Europe,Champions League,222,0,0,611
,Midfielder,Spain,UCL,2,2,0,0,0,Marc Bernal,534796,Midfielder,65,Barcelona,Europe,Champions League,21,0,0,612
-FW-,FW,Turkey,UCL,4,4,0,0,0,Mauro Icardi,106964,Forward,294,Galatasaray,Europe,Champions League,79,1,0,613
-AML-FW-,"AM(L),FW",Greece,UCL,4,4,0,0,0,Mehdi Taremi,358801,Forward,843,Olympiacos,Europe,Champions League,101,1,0,614
-DC-DL-,D(CL),France,UCL,2,0,0,0,0,Facundo Medina,330672,Defender,249,Marseille,Europe,Champions League,126,1,0,615
-MC-MR-,M(CR),Turkey,UCL,4,3,0,0,0,Gabriel Sara,349218,Midfielder,294,Galatasaray,Europe,Champions League,110,0,0,616
-DR-MR-,"D(R),M(R)",Netherlands,UCL,4,2,0,0,0,Anton Gaaei,484494,Defender,130,Ajax,Europe,Champions League,221,2,0,617
-AMR-,AM(R),Czech Republic,UCL,2,2,0,0,0,Ivan Schranz,399384,Forward,349,Slavia Prague,Europe,Champions League,46,1,0,618
,Forward,Cyprus,UCL,2,2,0,0,0,Mons Bassouamina,457891,Forward,2748,Pafos FC,Europe,Champions League,55,0,0,619
-FW-,FW,Norway,UCL,4,0,0,0,0,Kasper Høgh,479291,Forward,439,Bodoe/Glimt,Europe,Champions League,296,0,0,620
-FW-,FW,Czech Republic,UCL,3,3,0,0,0,Mojmír Chytil,464771,Forward,349,Slavia Prague,Europe,Champions League,61,1,0,621
-FW-,FW,Belgium,UCL,3,3,0,0,0,Romeo Vermant,476732,Forward,124,Club Brugge,Europe,Champions League,63,0,0,622
,Defender,Kazakhstan,UCL,4,1,0,0,0,Damir Kasabulat,439585,Defender,1770,Kairat Almaty,Europe,Champions League,242,0,0,623
-DL-DR-MC-,"D(LR),M(C)",Netherlands,UCL,4,1,0,0,0,Youri Regeer,427577,Midfielder,130,Ajax,Europe,Champions League,181,0,0,624
-FW-,FW,Cyprus,UCL,3,2,0,0,0,Anderson Silva,380620,Forward,2748,Pafos FC,Europe,Champions League,75,0,0,625
-DC-DMC-,"D(C),DMC",Netherlands,UCL,3,0,0,0,0,Ko Itakura,369525,Defender,130,Ajax,Europe,Champions League,264,1,0,626
-DC-DR-,D(CR),Denmark,UCL,4,0,0,0,0,Pantelis Hatzidiakos,300755,Defender,10,Copenhagen,Europe,Champions League,324,1,0,627
-MC-,M(C),Spain,UCL,4,2,0,0,0,Dani Parejo,28186,Midfielder,839,Villarreal,Europe,Champions League,148,0,0,628
-DMC-,DMC,Greece,UCL,3,0,0,0,0,Santiago Hezze,392345,Midfielder,843,Olympiacos,Europe,Champions League,219,0,1,629
-MC-,M(C),Greece,UCL,2,2,0,0,0,Diogo Nascimento,492324,Midfielder,843,Olympiacos,Europe,Champions League,86,0,0,630
-DC-DMC-,"D(C),DMC",Spain,UCL,2,2,0,0,0,Andreas Christensen,130331,Defender,65,Barcelona,Europe,Champions League,24,0,0,631
-FW-,FW,Portugal,UCL,2,2,0,0,0,Henrique Araújo,424769,Forward,299,Benfica,Europe,Champions League,12,0,0,632
-MC-,M(C),Belgium,UCL,3,2,0,0,0,Rob Schoofs,92586,Midfielder,2647,Union St.Gilloise,Europe,Champions League,68,1,0,633
,Forward,France,UCL,2,2,0,0,0,Robinio Vaz,511691,Forward,249,Marseille,Europe,Champions League,27,0,0,634
-DR-MC-ML-MR-,"D(R),M(CLR)",Spain,UCL,3,0,0,0,0,Tajon Buchanan,371027,Forward,839,Villarreal,Europe,Champions League,212,0,0,635
-DC-,D(C),Germany,UCL,4,3,0,0,0,Aurèle Amenda,450271,Defender,45,Eintracht Frankfurt,Europe,Champions League,133,1,0,636
,Midfielder,Greece,UCL,2,2,0,0,0,Lorenzo Scipioni,437277,Midfielder,843,Olympiacos,Europe,Champions League,23,1,0,637
-DC-DL-,D(CL),France,UCL,2,1,0,0,0,Christian Mawissa,456749,Defender,248,Monaco,Europe,Champions League,98,1,0,638
-DC-DL-DR-MR-,"D(CLR),M(R)",Italy,UCL,3,0,0,0,0,Giovanni Di Lorenzo,122469,Defender,276,Napoli,Europe,Champions League,201,0,1,639
-MC-ML-MR-,M(CLR),Greece,UCL,2,1,0,0,0,Gabriel Strefezza,335576,Forward,843,Olympiacos,Europe,Champions League,50,1,0,640
-AMC-,AM(C),Spain,UCL,3,1,0,0,0,Unai Gómez,480619,Midfielder,53,Athletic Club,Europe,Champions League,161,0,0,641
-MC-ML-,M(CL),Netherlands,UCL,3,0,0,0,0,Kenneth Taylor,401122,Midfielder,130,Ajax,Europe,Champions League,170,0,1,642
-DMC-,DMC,Italy,UCL,3,2,0,0,0,Billy Gilmour,381255,Midfielder,276,Napoli,Europe,Champions League,85,0,0,643
-DC-MC-,"D(C),M(C)",Germany,UCL,2,0,0,0,0,Robert Andrich,122140,Midfielder,36,Leverkusen,Europe,Champions League,121,0,1,644
-AMC-AML-FW-,"AM(CL),FW",England,UCL,3,1,0,0,0,João Pedro,373525,Forward,15,Chelsea,Europe,Champions League,190,0,1,645
-FW-,FW,Netherlands,UCL,3,0,0,1,0,Wout Weghorst,115479,Forward,130,Ajax,Europe,Champions League,199,1,0,646
-DR-MR-,"D(R),M(R)",Cyprus,UCL,2,0,0,0,0,João Correia,381794,Defender,2748,Pafos FC,Europe,Champions League,81,0,1,647
-GK-,GK,Greece,UCL,3,0,0,0,0,Konstantinos Tzolakis,397331,Goalkeeper,843,Olympiacos,Europe,Champions League,270,0,0,648
-GK-,GK,Netherlands,UCL,2,0,0,0,0,Vítezslav Jaros,391831,Goalkeeper,130,Ajax,Europe,Champions League,180,0,0,649
-FW-,FW,Italy,UCL,2,1,0,0,0,Lorenzo Lucca,424819,Forward,276,Napoli,Europe,Champions League,77,0,1,650
-GK-,GK,Denmark,UCL,4,0,0,0,0,Dominik Kotarski,365432,Goalkeeper,10,Copenhagen,Europe,Champions League,360,0,0,651
