,playedPositionsShort,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-AML-FW-,"AM(L),FW",Italy,7,2,0,2,0,Jamie Vardy,106981,Forward,2731,Cremonese,Italy,Serie A,6.587142857,513,2,0,151
-FW-,FW,Italy,9,5,0,1,2,Thijs Dallinga,379687,Forward,71,Bologna,Italy,Serie A,6.585555556,365,1,0,152
-AMC-FW-,"AM(C),FW",Italy,10,0,0,1,0,Sebastiano Esposito,371397,Forward,78,Cagliari,Italy,Serie A,6.585,730,3,0,153
-DC-DL-ML-,"D(CL),M(L)",Italy,10,0,1,1,0,Luca Ranieri,355869,Defender,73,Fiorentina,Italy,Serie A,6.581,814,4,0,154
-AMC-,AM(C),Italy,9,4,0,1,1,Lazar Samardzic,393039,Midfielder,300,Atalanta,Italy,Serie A,6.58,458,0,0,155
-DC-,D(C),Italy,10,1,0,1,0,Federico Gatti,439909,Defender,87,Juventus,Italy,Serie A,6.571,781,3,0,156
-DC-,D(C),Italy,8,3,0,0,0,Ardian Ismajli,366671,Defender,72,Torino,Italy,Serie A,6.57,505,2,0,157
-GK-,GK,Italy,7,0,0,0,0,Franco Israel,406957,Goalkeeper,72,Torino,Italy,Serie A,6.567142857,630,1,0,158
-DMC-DR-,"D(R),DMC",Italy,11,1,0,0,0,Morten Frendrup,424806,Midfielder,278,Genoa,Italy,Serie A,6.566363636,876,1,0,159
-FW-,FW,Italy,11,5,0,3,0,Dusan Vlahovic,315369,Forward,87,Juventus,Italy,Serie A,6.566363636,563,0,0,160
-DL-ML-,"D(L),M(L)",Italy,7,1,0,0,0,Nuno Tavares,379790,Defender,77,Lazio,Italy,Serie A,6.56,465,0,0,161
-DC-,D(C),Italy,11,0,0,0,0,Kialonda Gaspar,463347,Defender,79,Lecce,Italy,Serie A,6.558181818,990,4,0,162
-MC-ML-MR-,M(CLR),Italy,10,1,0,0,0,Michel Aebischer,327702,Midfielder,777,Pisa,Italy,Serie A,6.556,810,2,0,163
-AMR-FW-,"AM(R),FW",Italy,11,6,0,2,0,Tasos Douvikas,422873,Forward,1290,Como,Italy,Serie A,6.555454545,457,0,0,164
-DC-,D(C),Italy,11,1,0,0,1,Matteo Bianchetti,105249,Defender,2731,Cremonese,Italy,Serie A,6.553636364,878,1,0,165
-DC-MC-,"D(C),M(C)",Italy,10,4,0,0,0,Teun Koopmeiners,343308,Midfielder,87,Juventus,Italy,Serie A,6.545,593,4,0,166
-DC-DR-,D(CR),Italy,11,0,0,1,0,Enrico Delprato,355856,Defender,24341,Parma Calcio 1913,Italy,Serie A,6.54,990,2,0,167
-DMC-,DMC,Italy,10,1,0,0,0,Mandela Keita,411939,Midfielder,24341,Parma Calcio 1913,Italy,Serie A,6.536,804,0,0,168
-ML-,M(L),Italy,9,6,0,2,1,Mattia Felici,452020,Forward,78,Cagliari,Italy,Serie A,6.534444444,332,2,0,169
-ML-,M(L),Italy,8,3,0,0,1,Samuele Angori,431666,Defender,777,Pisa,Italy,Serie A,6.53,458,0,0,170
-DC-,D(C),Italy,7,4,0,0,0,Armel Bella-Kotchap,369970,Defender,76,Verona,Italy,Serie A,6.528571429,415,1,0,171
-FW-,FW,Italy,10,7,0,2,1,Artem Dovbyk,296975,Forward,84,Roma,Italy,Serie A,6.528,323,0,0,172
-FW-,FW,Italy,9,1,0,0,0,Santiago Giménez,445061,Forward,80,AC Milan,Italy,Serie A,6.526666667,627,1,0,173
-DR-FW-MC-ML-MR-,"D(R),M(CLR),FW",Italy,10,8,0,1,0,Juan Cuadrado,44868,Midfielder,777,Pisa,Italy,Serie A,6.524,322,2,0,174
-DC-DL-DR-ML-MR-,"D(CLR),M(LR)",Italy,9,2,0,1,0,Mërgim Vojvoda,228854,Defender,1290,Como,Italy,Serie A,6.522222222,501,2,0,175
-GK-,GK,Italy,9,0,1,0,0,Yann Sommer,35758,Goalkeeper,75,Inter,Italy,Serie A,6.518888889,810,0,0,176
,Defender,Italy,7,0,0,0,2,Sascha Britschgi,581362,Defender,24341,Parma Calcio 1913,Italy,Serie A,6.515714286,574,1,0,177
-ML-,M(L),Italy,7,2,0,0,0,Davide Bartesaghi,454356,Defender,80,AC Milan,Italy,Serie A,6.515714286,487,1,0,178
-FW-,FW,Italy,9,0,0,2,1,Gift Orban,472995,Forward,76,Verona,Italy,Serie A,6.514444444,744,3,0,179
-AMC-AMR-FW-,"AM(CR),FW",Italy,10,3,1,1,1,Cyril Ngonge,367742,Forward,72,Torino,Italy,Serie A,6.514,642,1,0,180
-AML-,AM(L),Italy,8,4,0,0,2,Jesús Rodríguez,539559,Forward,1290,Como,Italy,Serie A,6.51125,481,0,1,181
-GK-,GK,Italy,11,0,1,0,0,Lorenzo Montipò,142425,Goalkeeper,76,Verona,Italy,Serie A,6.510909091,990,0,0,182
-FW-,FW,Italy,7,1,1,2,0,Rasmus Højlund,439584,Forward,276,Napoli,Italy,Serie A,6.507142857,512,1,0,183
-GK-,GK,Italy,11,0,1,0,0,Nicola Leali,91169,Goalkeeper,278,Genoa,Italy,Serie A,6.506363636,990,1,0,184
,Forward,Italy,10,3,1,2,0,Stefano Moreo,141729,Forward,777,Pisa,Italy,Serie A,6.503,493,0,0,185
-FW-,FW,Italy,11,4,0,2,0,M'Bala Nzola,343368,Forward,777,Pisa,Italy,Serie A,6.501818182,710,1,0,186
-MC-,M(C),Italy,9,0,0,1,1,Mattéo Guendouzi,328983,Midfielder,77,Lazio,Italy,Serie A,6.501111111,800,3,1,187
-DR-MR-,"D(R),M(R)",Italy,11,3,0,0,0,Rafik Belghali,486753,Defender,76,Verona,Italy,Serie A,6.499090909,755,4,0,188
-AMC-AML-AMR-FW-,"AM(CLR),FW",Italy,10,6,0,1,1,Franco Vázquez,102439,Forward,2731,Cremonese,Italy,Serie A,6.494,406,1,0,189
-DR-MC-ML-MR-,"D(R),M(CLR)",Italy,8,3,0,0,0,Jean-Daniel Akpa Akpro,105347,Midfielder,76,Verona,Italy,Serie A,6.49375,452,4,0,190
-GK-,GK,Italy,7,0,0,0,0,Vanja Milinkovic-Savic,149474,Goalkeeper,276,Napoli,Italy,Serie A,6.492857143,630,0,0,191
-GK-,GK,Italy,11,0,0,0,0,David de Gea,79554,Goalkeeper,73,Fiorentina,Italy,Serie A,6.481818182,990,0,0,192
-ML-MR-,M(LR),Italy,7,0,0,0,1,Alessio Zerbin,338762,Forward,2731,Cremonese,Italy,Serie A,6.481428571,526,1,0,193
-DC-DMC-,"D(C),DMC",Italy,8,1,0,0,0,Marten de Roon,85070,Midfielder,300,Atalanta,Italy,Serie A,6.48125,548,1,1,194
-DR-MC-ML-MR-,"D(R),M(CLR)",Italy,10,2,0,0,1,Valentino Lazaro,114323,Defender,72,Torino,Italy,Serie A,6.48,710,1,0,195
-DC-DL-,D(CL),Italy,8,0,0,1,0,Sebastiano Luperto,255292,Defender,78,Cagliari,Italy,Serie A,6.4775,720,0,0,196
-AMC-AMR-FW-,"AM(CR),FW",Italy,10,3,1,0,0,Santiago Pierotti,381913,Forward,79,Lecce,Italy,Serie A,6.476,602,0,0,197
-DC-DR-MR-,"D(CR),M(R)",Italy,9,1,0,0,0,Gabriele Zappa,371396,Defender,78,Cagliari,Italy,Serie A,6.473333333,606,2,0,198
-FW-,FW,Italy,7,3,0,0,1,Evan Ferguson,423720,Forward,84,Roma,Italy,Serie A,6.47,306,1,0,199
-DC-DL-ML-,"D(CL),M(L)",Italy,10,6,0,0,1,Carlos Augusto,357897,Defender,75,Inter,Italy,Serie A,6.463,380,1,0,200
-DC-,D(C),Italy,10,0,0,0,0,Marin Pongracic,336048,Defender,73,Fiorentina,Italy,Serie A,6.461,900,4,0,201
-AMC-AML-FW-,"AM(CL),FW",Italy,11,7,0,2,0,Ché Adams,256419,Forward,72,Torino,Italy,Serie A,6.460909091,483,0,0,202
,Defender,Italy,7,5,0,0,0,Oliver Provstgaard,484491,Defender,77,Lazio,Italy,Serie A,6.458571429,280,0,0,203
-ML-MR-,M(LR),Italy,10,8,0,1,1,Alieu Fadera,421983,Forward,2889,Sassuolo,Italy,Serie A,6.457,332,1,0,204
-DR-MR-,"D(R),M(R)",Italy,11,0,0,0,0,Dodô,317675,Defender,73,Fiorentina,Italy,Serie A,6.446363636,981,2,0,205
-MC-,M(C),Italy,9,4,0,0,1,Kristian Thorstvedt,372407,Midfielder,2889,Sassuolo,Italy,Serie A,6.441111111,498,2,0,206
-DC-,D(C),Italy,7,1,0,0,0,Lautaro Valenti,364337,Defender,24341,Parma Calcio 1913,Italy,Serie A,6.44,587,2,0,207
-MC-,M(C),Italy,8,1,0,0,1,Hans Nicolussi Caviglia,371257,Midfielder,73,Fiorentina,Italy,Serie A,6.43875,572,2,0,208
-AML-FW-,"AM(L),FW",Italy,10,4,0,0,0,Vítinha,407949,Forward,278,Genoa,Italy,Serie A,6.434,462,2,0,209
-AMC-AML-AMR-,AM(CLR),Italy,9,5,0,0,2,David Neres,326505,Forward,276,Napoli,Italy,Serie A,6.43,427,2,0,210
-DMC-,DMC,Italy,8,2,0,0,1,Stanislav Lobotka,111892,Midfielder,276,Napoli,Italy,Serie A,6.42875,521,0,0,211
-AML-AMR-FW-,"AM(LR),FW",Italy,11,2,1,2,1,Armand Laurienté,355994,Forward,2889,Sassuolo,Italy,Serie A,6.416363636,634,0,0,212
-DL-DR-MR-,"D(LR),M(R)",Italy,8,1,0,0,0,Marcus Pedersen,357133,Defender,72,Torino,Italy,Serie A,6.415,628,1,0,213
-DMC-,DMC,Italy,11,1,0,0,0,Matteo Prati,447544,Midfielder,78,Cagliari,Italy,Serie A,6.414545455,825,2,0,214
-FW-,FW,Italy,9,6,1,1,0,Roberto Piccoli,369414,Forward,73,Fiorentina,Italy,Serie A,6.413333333,393,0,0,215
-MC-,M(C),Italy,9,0,0,1,0,Ismaël Koné,422851,Midfielder,2889,Sassuolo,Italy,Serie A,6.413333333,718,0,1,216
-AML-AMR-FW-,"AM(LR),FW",Italy,10,0,0,2,0,Moise Kean,328990,Forward,73,Fiorentina,Italy,Serie A,6.406,887,2,0,217
-FW-,FW,Italy,10,2,0,0,0,Nikola Stulic,452107,Forward,79,Lecce,Italy,Serie A,6.398,654,1,0,218
-MC-ML-,M(CL),Italy,10,0,0,1,0,Lassana Coulibaly,288894,Midfielder,79,Lecce,Italy,Serie A,6.394,839,2,0,219
-FW-ML-MR-,"M(LR),FW",Italy,7,3,0,0,0,Pontus Almqvist,345600,Forward,24341,Parma Calcio 1913,Italy,Serie A,6.391428571,352,0,0,220
-FW-,FW,Italy,10,5,0,1,0,Gennaro Borrelli,447445,Forward,78,Cagliari,Italy,Serie A,6.389,500,2,0,221
-DL-ML-,"D(L),M(L)",Italy,8,6,0,0,0,Luca Pellegrini,332268,Defender,77,Lazio,Italy,Serie A,6.3875,294,0,0,222
-MC-ML-MR-,M(CLR),Italy,9,6,0,1,0,Ruben Loftus-Cheek,255777,Midfielder,80,AC Milan,Italy,Serie A,6.386666667,360,0,0,223
-DC-,D(C),Italy,7,1,0,0,0,Abdoulaye Ndiaye,412864,Defender,24341,Parma Calcio 1913,Italy,Serie A,6.385714286,497,2,1,224
-AMC-AML-AMR-FW-,"AM(CLR),FW",Italy,11,1,0,0,0,Nikola Vlasic,343975,Midfielder,72,Torino,Italy,Serie A,6.384545455,761,2,0,225
-DMC-,DMC,Italy,10,1,0,0,0,Warren Bondo,446958,Midfielder,2731,Cremonese,Italy,Serie A,6.377,760,1,0,226
-FW-,FW,Italy,8,6,0,1,0,Adam Buksa,339502,Forward,86,Udinese,Italy,Serie A,6.37625,384,1,0,227
-DC-DR-,D(CR),Italy,7,5,0,0,0,Arturo Calabresi,243919,Defender,777,Pisa,Italy,Serie A,6.372857143,321,0,0,228
-MC-,M(C),Italy,7,7,1,1,0,Marco Brescianini,367260,Midfielder,300,Atalanta,Italy,Serie A,6.372857143,152,1,0,229
-MC-ML-MR-,M(CLR),Italy,10,2,0,0,0,Tete Morente,402087,Forward,79,Lecce,Italy,Serie A,6.367,699,1,0,230
-FW-MC-ML-MR-,"M(CLR),FW",Italy,10,7,0,0,0,Federico Bernardeschi,122402,Forward,71,Bologna,Italy,Serie A,6.364,358,2,0,231
-MC-,M(C),Italy,9,4,0,0,1,Simon Sohm,367177,Midfielder,73,Fiorentina,Italy,Serie A,6.354444444,425,2,0,232
-DMC-,DMC,Italy,11,3,0,0,1,Michel Adopo,356176,Midfielder,78,Cagliari,Italy,Serie A,6.35,844,0,0,233
-FW-MC-ML-MR-,"M(CLR),FW",Italy,11,9,0,0,1,Pedro,44055,Forward,77,Lazio,Italy,Serie A,6.347272727,333,1,0,234
-MC-,M(C),Italy,7,1,0,0,0,Éderson,362556,Midfielder,300,Atalanta,Italy,Serie A,6.345714286,499,1,0,235
-AMR-,AM(R),Italy,7,3,0,1,0,Gustav Isaksen,403648,Forward,77,Lazio,Italy,Serie A,6.344285714,414,0,0,236
-DL-ML-,"D(L),M(L)",Italy,10,1,0,0,0,Domagoj Bradaric,377311,Defender,76,Verona,Italy,Serie A,6.344,787,1,0,237
-DC-DR-MC-ML-MR-,"D(CR),M(CLR)",Italy,10,4,0,0,0,Weston McKennie,338275,Midfielder,87,Juventus,Italy,Serie A,6.343,559,1,0,238
-AMC-AML-AMR-FW-,"AM(CLR),FW",Italy,11,3,0,1,0,Boulaye Dia,365122,Forward,77,Lazio,Italy,Serie A,6.337272727,659,0,0,239
-DMC-MR-,"DMC,M(R)",Italy,9,5,0,0,0,Nahuel Estévez,362683,Midfielder,24341,Parma Calcio 1913,Italy,Serie A,6.335555556,306,1,0,240
-AMC-AML-FW-,"AM(CL),FW",Italy,11,5,0,0,1,Álvaro Morata,91213,Forward,1290,Como,Italy,Serie A,6.334545455,533,1,0,241
-MC-ML-,M(CL),Italy,7,2,0,0,0,Jurgen Ekkelenkamp,355963,Midfielder,86,Udinese,Italy,Serie A,6.33,399,0,0,242
-AMC-FW-,"AM(C),FW",Italy,8,5,0,0,0,Loïs Openda,363618,Forward,87,Juventus,Italy,Serie A,6.33,294,0,0,243
-DR-MR-,"D(R),M(R)",Italy,8,6,0,0,0,João Mário,395173,Defender,87,Juventus,Italy,Serie A,6.32875,237,1,0,244
-FW-ML-MR-,"M(LR),FW",Italy,8,8,0,2,0,Konan N’Dri,399852,Forward,79,Lecce,Italy,Serie A,6.3275,143,1,0,245
-MC-ML-MR-,M(CLR),Italy,11,2,0,1,0,Mikael Ellertsson,424834,Midfielder,278,Genoa,Italy,Serie A,6.326363636,817,1,0,246
-AMC-,AM(C),Italy,10,3,0,0,1,Mattéo Tramoni,357956,Forward,777,Pisa,Italy,Serie A,6.326,530,1,0,247
-FW-MC-ML-MR-,"M(CLR),FW",Italy,8,5,0,0,0,Eljif Elmas,339579,Midfielder,276,Napoli,Italy,Serie A,6.32375,317,1,0,248
-AMC-,AM(C),Italy,10,6,0,0,1,Gianluca Gaetano,369883,Midfielder,78,Cagliari,Italy,Serie A,6.323,385,1,0,249
-DC-DR-,D(CR),Italy,7,4,0,0,0,Koni De Winter,404623,Defender,80,AC Milan,Italy,Serie A,6.321428571,345,0,0,250
-DMC-,DMC,Italy,8,7,0,0,0,Davide Frattesi,331425,Midfielder,75,Inter,Italy,Serie A,6.315,198,0,0,251
-MC-ML-MR-,M(CLR),Italy,8,7,0,1,1,Piotr Zielinski,118169,Midfielder,75,Inter,Italy,Serie A,6.315,204,0,0,252
-AMC-AML-AMR-FW-,"AM(CLR),FW",Italy,9,2,0,2,1,Albert Gudmundsson,289252,Forward,73,Fiorentina,Italy,Serie A,6.31,567,2,0,253
-DC-DL-ML-,"D(CL),M(L)",Italy,8,3,0,0,0,Cristiano Biraghi,93935,Defender,72,Torino,Italy,Serie A,6.30875,459,0,0,254
-DC-DL-ML-,"D(CL),M(L)",Italy,8,4,0,0,0,Mathías Olivera,347178,Defender,276,Napoli,Italy,Serie A,6.30875,359,1,0,255
-DR-MR-,"D(R),M(R)",Italy,7,3,0,0,0,Manuel Lazzari,287086,Midfielder,77,Lazio,Italy,Serie A,6.305714286,294,1,0,256
-FW-MC-ML-MR-,"M(CLR),FW",Italy,7,5,0,0,1,Christopher Nkunku,300945,Forward,80,AC Milan,Italy,Serie A,6.304285714,252,0,0,257
-MC-,M(C),Italy,7,4,0,0,0,Tommaso Pobega,402123,Midfielder,71,Bologna,Italy,Serie A,6.304285714,329,1,0,258
-AML-,AM(L),Italy,8,4,0,0,0,Lameck Banda,378482,Midfielder,79,Lecce,Italy,Serie A,6.30125,370,2,0,259
-AMC-AML-,AM(CL),Italy,7,7,0,0,0,Jeremy Sarmiento,425603,Midfielder,2731,Cremonese,Italy,Serie A,6.297142857,137,0,0,260
-FW-,FW,Italy,10,2,0,1,0,Patrick Cutrone,329681,Forward,24341,Parma Calcio 1913,Italy,Serie A,6.297,683,0,0,261
-DMC-,DMC,Italy,9,2,0,0,0,Marius Marin,330629,Midfielder,777,Pisa,Italy,Serie A,6.293333333,560,2,0,262
-DC-DR-,D(CR),Italy,7,1,0,0,0,Odilon Kossounou,384516,Defender,300,Atalanta,Italy,Serie A,6.29,493,0,0,263
-MC-,M(C),Italy,11,2,0,0,0,Antoine Bernede,346744,Midfielder,76,Verona,Italy,Serie A,6.289090909,799,1,0,264
,Defender,Italy,7,5,0,1,0,Riyad Idrissi,532542,Defender,78,Cagliari,Italy,Serie A,6.287142857,238,1,0,265
-AMC-,AM(C),Italy,10,6,0,0,0,Jacopo Fazzini,431359,Midfielder,73,Fiorentina,Italy,Serie A,6.287,383,0,0,266
-AMC-,AM(C),Italy,9,6,0,0,0,Valentín Carboni,446865,Midfielder,278,Genoa,Italy,Serie A,6.284444444,336,2,0,267
-DMC-,DMC,Italy,9,2,0,0,0,Kristjan Asllani,423450,Midfielder,72,Torino,Italy,Serie A,6.283333333,612,3,0,268
-AMC-AML-AMR-FW-,"AM(CLR),FW",Italy,9,8,0,1,0,Caleb Ekuban,124209,Forward,278,Genoa,Italy,Serie A,6.281111111,272,0,0,269
-FW-,FW,Italy,9,7,0,1,0,Francesco Pio Esposito,497222,Forward,75,Inter,Italy,Serie A,6.267777778,332,1,0,270
-MC-,M(C),Italy,10,5,0,0,0,Jakub Piotrowski,363654,Midfielder,86,Udinese,Italy,Serie A,6.26,417,2,0,271
-AMR-,AM(R),Italy,8,4,0,0,0,Nicolas Kühn,420245,Forward,1290,Como,Italy,Serie A,6.26,354,0,0,272
-DMC-,DMC,Italy,9,6,0,0,0,Neil El Aynaoui,486734,Midfielder,84,Roma,Italy,Serie A,6.256666667,297,1,0,273
-ML-MR-,M(LR),Italy,7,5,0,0,0,Luis Henrique,388567,Forward,75,Inter,Italy,Serie A,6.254285714,212,0,0,274
-FW-,FW,Italy,10,8,0,0,0,Edin Dzeko,24845,Forward,73,Fiorentina,Italy,Serie A,6.243,218,1,0,275
-AMC-,AM(C),Italy,8,2,0,0,0,Martín Payero,349535,Midfielder,2731,Cremonese,Italy,Serie A,6.2425,504,3,0,276
-MC-ML-MR-,M(CLR),Italy,11,0,0,0,0,Michael Folorunsho,333294,Midfielder,78,Cagliari,Italy,Serie A,6.23,901,1,0,277
-FW-,FW,Italy,10,6,0,1,0,Lorenzo Lucca,424819,Forward,276,Napoli,Italy,Serie A,6.229,357,1,0,278
-DC-MC-,"D(C),M(C)",Italy,11,7,0,0,0,Adrien Tamèze,124721,Midfielder,72,Torino,Italy,Serie A,6.226363636,447,1,0,279
-AML-AMR-FW-,"AM(LR),FW",Italy,8,7,0,0,0,Noa Lang,354283,Forward,276,Napoli,Italy,Serie A,6.2225,154,2,0,280
-AMC-FW-,"AM(C),FW",Italy,10,5,0,1,1,Jonathan David,383855,Forward,87,Juventus,Italy,Serie A,6.219,441,0,0,281
,Defender,Italy,9,5,0,0,0,Romano Floriani Mussolini,426905,Defender,2731,Cremonese,Italy,Serie A,6.218888889,414,2,0,282
,Defender,Italy,7,6,0,1,0,Zachary Athekame,499996,Defender,80,AC Milan,Italy,Serie A,6.201428571,108,2,0,283
-AMC-,AM(C),Italy,8,4,0,0,0,Giovanni Fabbian,447528,Midfielder,71,Bologna,Italy,Serie A,6.1925,352,0,0,284
-MC-,M(C),Italy,9,3,0,0,0,Aster Vranckx,399957,Midfielder,2889,Sassuolo,Italy,Serie A,6.191111111,449,1,0,285
-FW-,FW,Italy,8,6,0,0,1,Vakoun Bayo,383814,Forward,86,Udinese,Italy,Serie A,6.18,259,0,0,286
-DR-MR-,"D(R),M(R)",Italy,10,5,0,0,0,Kingsley Ehizibue,244583,Defender,86,Udinese,Italy,Serie A,6.173,464,1,0,287
-FW-,FW,Italy,9,9,0,1,0,Walid Cheddira,447146,Forward,2889,Sassuolo,Italy,Serie A,6.167777778,72,1,0,288
-FW-,FW,Italy,10,7,0,1,0,Jeff Ekhator,535736,Forward,278,Genoa,Italy,Serie A,6.146,302,2,0,289
-AML-FW-,"AM(L),FW",Italy,11,9,0,0,0,Amin Sarr,401593,Forward,76,Verona,Italy,Serie A,6.141818182,288,0,0,290
-DMC-,DMC,Italy,8,3,0,0,0,Nicolò Fagioli,369426,Midfielder,73,Fiorentina,Italy,Serie A,6.13625,445,1,0,291
-MC-,M(C),Italy,7,5,0,0,0,Gvidas Gineitis,435108,Midfielder,72,Torino,Italy,Serie A,6.13,230,0,0,292
-AMC-AML-FW-,"AM(CL),FW",Italy,8,8,0,0,0,Zito Luvumbo,432157,Forward,78,Cagliari,Italy,Serie A,6.12875,181,0,0,293
-MC-,M(C),Italy,11,5,0,0,0,Oliver Sørensen,407076,Midfielder,24341,Parma Calcio 1913,Italy,Serie A,6.121818182,640,2,0,294
-DMC-,DMC,Italy,7,6,0,0,0,Cheikh Niasse,380711,Midfielder,76,Verona,Italy,Serie A,6.112857143,146,0,0,295
-FW-,FW,Italy,9,4,0,0,0,Henrik Meister,495906,Forward,777,Pisa,Italy,Serie A,6.094444444,492,1,0,296
,Forward,Italy,11,8,0,1,0,Francesco Camarda,510527,Forward,79,Lecce,Italy,Serie A,6.071818182,347,1,0,297
-FW-,FW,Italy,7,2,0,0,1,Antonio Sanabria,135057,Forward,2731,Cremonese,Italy,Serie A,6.068571429,378,2,0,298
-FW-,FW,Italy,9,9,0,0,0,Milan Djuric,33649,Forward,24341,Parma Calcio 1913,Italy,Serie A,6.062222222,46,0,0,299
-AMC-FW-,"AM(C),FW",Italy,11,4,0,1,0,Lorenzo Colombo,395219,Forward,278,Genoa,Italy,Serie A,6.059090909,557,1,0,300
-MC-,M(C),Italy,8,3,0,0,0,Christian Ordóñez,444691,Midfielder,24341,Parma Calcio 1913,Italy,Serie A,5.97875,360,2,1,301
-DMC-,DMC,Italy,7,4,0,0,0,Cher Ndour,476109,Midfielder,73,Fiorentina,Italy,Serie A,5.968571429,281,0,0,302
